file_name,file_year,file_month,year,month,country,arrivals_country
tourism_2016_02.xls,2016,2,2015,2,ARJANTİN,2776
tourism_2016_02.xls,2016,2,2016,2,ARJANTİN,3710
tourism_2016_02.xls,2016,2,2015,2,BREZİLYA,3832
tourism_2016_02.xls,2016,2,2016,2,BREZİLYA,2143
tourism_2016_02.xls,2016,2,2015,2,KOLOMBİYA,698
tourism_2016_02.xls,2016,2,2016,2,KOLOMBİYA,492
tourism_2016_02.xls,2016,2,2015,2,ŞİLİ,1512
tourism_2016_02.xls,2016,2,2016,2,ŞİLİ,888
tourism_2016_02.xls,2016,2,2015,2,VENEZÜELLA,226
tourism_2016_02.xls,2016,2,2016,2,VENEZÜELLA,211
tourism_2016_03.xls,2016,3,2015,3,ALMANYA,279179
tourism_2016_03.xls,2016,3,2016,3,ALMANYA,231244
tourism_2016_03.xls,2016,3,2015,3,AVUSTURYA,21933
tourism_2016_03.xls,2016,3,2016,3,AVUSTURYA,16496
tourism_2016_03.xls,2016,3,2015,3,BELÇİKA,18418
tourism_2016_03.xls,2016,3,2016,3,BELÇİKA,21266
tourism_2016_03.xls,2016,3,2015,3,DANİMARKA,22108
tourism_2016_03.xls,2016,3,2016,3,DANİMARKA,19142
tourism_2016_03.xls,2016,3,2015,3,FİNLANDİYA,11665
tourism_2016_03.xls,2016,3,2016,3,FİNLANDİYA,6742
tourism_2016_03.xls,2016,3,2015,3,FRANSA,33727
tourism_2016_03.xls,2016,3,2016,3,FRANSA,27654
tourism_2016_03.xls,2016,3,2015,3,HOLLANDA,34144
tourism_2016_03.xls,2016,3,2016,3,HOLLANDA,31238
tourism_2016_03.xls,2016,3,2015,3,İNGİLTERE,69251
tourism_2016_03.xls,2016,3,2016,3,İNGİLTERE,68537
tourism_2016_03.xls,2016,3,2015,3,İRLANDA,4108
tourism_2016_03.xls,2016,3,2016,3,İRLANDA,2774
tourism_2016_03.xls,2016,3,2015,3,İSPANYA,19166
tourism_2016_03.xls,2016,3,2016,3,İSPANYA,10023
tourism_2016_03.xls,2016,3,2015,3,İSVEÇ,27054
tourism_2016_03.xls,2016,3,2016,3,İSVEÇ,16802
tourism_2016_03.xls,2016,3,2015,3,İSVİÇRE,14047
tourism_2016_03.xls,2016,3,2016,3,İSVİÇRE,12505
